"Label (Grouping)","Utah"
"Total:","3,271,616"
"    Population of one race:","2,992,603"
"        White alone","2,573,413"
"        Black or African American alone","40,058"
"        American Indian and Alaska Native alone","41,644"
"        Asian alone","80,438"
"        Native Hawaiian and Other Pacific Islander alone","36,930"
"        Some Other Race alone","220,120"
"    Population of two or more races:","279,013"
"        Population of two races:","261,893"
"            White; Black or African American","17,096"
"            White; American Indian and Alaska Native","31,850"
"            White; Asian","32,648"
"            White; Native Hawaiian and Other Pacific Islander","12,766"
"            White; Some Other Race","155,296"
"            Black or African American; American Indian and Alaska Native","888"
"            Black or African American; Asian","744"
"            Black or African American; Native Hawaiian and Other Pacific Islander","651"
"            Black or African American; Some Other Race","2,350"
"            American Indian and Alaska Native; Asian","373"
"            American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","333"
"            American Indian and Alaska Native; Some Other Race","3,090"
"            Asian; Native Hawaiian and Other Pacific Islander","2,303"
"            Asian; Some Other Race","1,054"
"            Native Hawaiian and Other Pacific Islander; Some Other Race","451"
"        Population of three races:","15,570"
"            White; Black or African American; American Indian and Alaska Native","1,520"
"            White; Black or African American; Asian","702"
"            White; Black or African American; Native Hawaiian and Other Pacific Islander","369"
"            White; Black or African American; Some Other Race","1,373"
"            White; American Indian and Alaska Native; Asian","774"
"            White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","378"
"            White; American Indian and Alaska Native; Some Other Race","4,847"
"            White; Asian; Native Hawaiian and Other Pacific Islander","3,823"
"            White; Asian; Some Other Race","990"
"            White; Native Hawaiian and Other Pacific Islander; Some Other Race","321"
"            Black or African American; American Indian and Alaska Native; Asian","46"
"            Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","36"
"            Black or African American; American Indian and Alaska Native; Some Other Race","80"
"            Black or African American; Asian; Native Hawaiian and Other Pacific Islander","86"
"            Black or African American; Asian; Some Other Race","45"
"            Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race","9"
"            American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","57"
"            American Indian and Alaska Native; Asian; Some Other Race","29"
"            American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","8"
"            Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","77"
"        Population of four races:","1,368"
"            White; Black or African American; American Indian and Alaska Native; Asian","125"
"            White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","52"
"            White; Black or African American; American Indian and Alaska Native; Some Other Race","533"
"            White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander","123"
"            White; Black or African American; Asian; Some Other Race","58"
"            White; Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race","6"
"            White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","207"
"            White; American Indian and Alaska Native; Asian; Some Other Race","115"
"            White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","35"
"            White; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","77"
"            Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","11"
"            Black or African American; American Indian and Alaska Native; Asian; Some Other Race","7"
"            Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","8"
"            Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","1"
"            American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","10"
"        Population of five races:","174"
"            White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","54"
"            White; Black or African American; American Indian and Alaska Native; Asian; Some Other Race","63"
"            White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","17"
"            White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","4"
"            White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","31"
"            Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","5"
"        Population of six races:","8"
"            White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","8"